1.0	virus	spread	countries
1.0	virus	spread countries	if not
1.0	virus	is	likely
1.0	virus	spread countries	not
1.0	virus	spread countries to	most
1.0	coronavirus epidemic	is now seeing	larger increases in cases outside China
1.0	coronavirus epidemic	is seeing	larger increases in cases outside China
1.0	latest coronavirus epidemic	is seeing	increases in cases
1.0	coronavirus epidemic	is now seeing increases Regardless	terminology
1.0	coronavirus epidemic	is now seeing	increases in cases outside China
1.0	latest coronavirus epidemic	is now seeing	increases in cases
1.0	coronavirus epidemic	is now seeing	larger increases
1.0	coronavirus epidemic	is seeing	increases
1.0	coronavirus epidemic	is now seeing	larger increases in cases
1.0	latest coronavirus epidemic	is now seeing	increases
1.0	latest coronavirus epidemic	is seeing	increases in cases outside China
1.0	coronavirus epidemic	is seeing	increases in cases outside China
1.0	coronavirus epidemic	is seeing	larger increases
1.0	coronavirus epidemic	is now seeing	increases in cases
1.0	coronavirus epidemic	is seeing	larger increases in cases
1.0	latest coronavirus epidemic	is seeing	larger increases in cases outside China
1.0	latest coronavirus epidemic	is seeing	larger increases in cases
1.0	latest coronavirus epidemic	is now seeing	increases in cases outside China
1.0	larger increases	is in	cases outside China
1.0	latest coronavirus epidemic	is now seeing increases Regardless	terminology
1.0	latest coronavirus epidemic	is now seeing	larger increases
1.0	coronavirus epidemic	is seeing increases Regardless	terminology
1.0	latest coronavirus epidemic	is seeing	larger increases
1.0	coronavirus epidemic	is now seeing	increases
1.0	coronavirus epidemic	is seeing	increases in cases
1.0	latest coronavirus epidemic	is now seeing	larger increases in cases outside China
1.0	latest coronavirus epidemic	is now seeing	larger increases in cases
1.0	latest coronavirus epidemic	is seeing increases Regardless	terminology
1.0	latest coronavirus epidemic	is seeing	increases
1.0	they	leave	European political leaders
1.0	outbreak	is in	northern Italy
1.0	they	leave	European leaders
1.0	they	leave	shocked political leaders
1.0	they	leave	shocked leaders
1.0	they	leave	political leaders
1.0	they	leave	leaders
1.0	residents	threatened	they try
1.0	residents	threatened with	imprisonment
1.0	they	leave	shocked European leaders
1.0	residents	threatened	if they try
1.0	they	leave	shocked European political leaders
1.0	Their shock	turned	as they saw
1.0	Italy	epicentre for	spread
1.0	Their shock	turned	they saw
1.0	Italy	become	epicentre
1.0	Italy	epicentre for	further spread across continent
1.0	Italy	become	epicentre for further spread across continent
1.0	Italy	become	epicentre for spread
1.0	Italy	epicentre for	further spread
1.0	Italy	epicentre for	spread across continent
1.0	Their shock	turned to	horror
1.0	Italy	become	epicentre for further spread
1.0	Italy	become	epicentre for spread across continent
1.0	health ministers	are scrambling	As window for containment closes
1.0	health ministers	are scrambling	window for global containment closes
1.0	health ministers	implement	appropriate measures
1.0	measures	delay	spread of virus
1.0	health ministers	are scrambling	window for containment closes
1.0	health ministers	are scrambling	As window closes
1.0	appropriate measures	delay	spread
1.0	health ministers	are scrambling	window closes
1.0	appropriate measures	delay	spread of virus
1.0	health ministers	are scrambling	As window for global containment closes
1.0	health ministers	implement	measures
1.0	measures	delay	spread
1.0	China 's vigorous public health measures ambitious disease containment effort	is in	history
1.0	China joint mission report	calls	China 's vigorous health measures toward coronavirus ambitious disease containment effort
1.0	China mission report	calls	China 's public health measures toward coronavirus disease containment effort
1.0	China	has	vigorous public health measures toward new coronavirus
1.0	China mission report	calls By	striking contrast
1.0	China mission report	calls	China 's vigorous health measures most ambitious disease containment effort
1.0	China mission report	calls	China 's vigorous public health measures most ambitious disease containment effort
1.0	China joint mission report	calls	China 's vigorous health measures toward coronavirus most ambitious disease containment effort
1.0	China mission report	calls	China 's public health measures toward coronavirus ambitious disease containment effort
1.0	China mission report	calls	China 's vigorous public health measures ambitious disease containment effort
